,Передвиборна програма,ПІБ,Основні відомості,Округ,Наявність(відсутність) заборгованості зі сплати аліментів,Дата та підстава скасування реєстрації кандидата,Дата реєстрації кандидатом,Висування,Область
2853,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15182pd410f01=27.doc,Дячук Юрій Вікторович,"народився 8 червня 1992 року в селі Шелестово Краснокутського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в селі Черешеньки Коропського району Чернігівської області, судимість відсутня, самовисування.",207,-, ,05.06.2019,Самовисування,Чернігівська область
2854,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17468pd410f01=27.doc,Євлахов Анатолій Сергійович,"народився 14 квiтня 1981 року в місті Керч, Республіка Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",207,-, ,21.06.2019,Самовисування,Чернігівська область
2855,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18424pd410f01=27.doc,Жадченко Андрій Миколайович,"народився 22 вересня 1971 року в місті Городня Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Городня Городнянського району Чернігівської області, судимість відсутня, самовисування.",207,-, ,22.06.2019,Самовисування,Чернігівська область
2856,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21039pd410f01=27.doc,Зуєв Максим Сергійович,"народився 14 квiтня 1982 року в місті Кустанай, Казахстан, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, керівник, ТОВ ""Артмедіа АДВ"", безпартійний, проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",207,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Чернігівська область
2857,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21389pd410f01=27.doc,Кошовий Дмитро Вікторович,"народився 7 травня 1989 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, приватне підприємство ""СЛУГА НАРОДУ"" ЗЕ! ДЕПУТАТ"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",207,-, ,24.06.2019,Самовисування,Чернігівська область
2858,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21470pd410f01=27.doc,Левківський Микола Петрович,"народився 20 серпня 1966 року в селі Верпа Овруцького району Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, районне заготівельно-виробниче об’єднання Городнянської райспоживспілки, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Городня Городнянського району Чернігівської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",207,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Чернігівська область
2859,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19577pd410f01=27.doc,Овчаренко Олексій Миколайович,"народився 27 лютого 1989 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, консультант з розвитку малого та середнього бізнесу, ""ІНТЕРНЕШНЛ ТРЕЙДІНГ ГРУП"" ЛТД, Республіка Болгарія, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",207,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Чернігівська область
2860,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17228pd410f01=27.doc,Рибаков Ігор Олександрович,"народився 14 серпня 1976 року в місті Веймар, Німеччина, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, президент, Благодійний фонд ""Місія Милосердя"", безпартійний, проживає в селі Грем’яч Новгород-Сіверського району Чернігівської області, судимість відсутня, самовисування.",207,-, ,21.06.2019,Самовисування,Чернігівська область
2861,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18962pd410f01=27.doc,Ригованов Руслан Олександрович,"народився 31 липня 1974 року в місті Горлівка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, виконувач обов’язків керівника, ДП ""Севастопольський морський рибний порт"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",207,-, ,22.06.2019,Самовисування,Чернігівська область
2862,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20437pd410f01=27.doc,Романенко Ігор Володимирович,"народився 7 липня 1982 року в місті Чернігові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, благодійний фонд ""Урочище Святе"", член ПОЛІТИЧНОЇ ПАРТІЇ ""НАШ КРАЙ"", проживає в місті Чернігові, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"".",207,-, ,23.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",Чернігівська область
