deputat,partia,perc_for,votes_for,tvo,oblast,year
Туровська Ірина Львівна , самовисування,2.51,2280,№32,Дніпропетровська область,2012
Герасименко Ірина Миколаївна ," Партія Наталії Королевської ""Україна – Вперед!""",2.5,2270,№32,Дніпропетровська область,2012
Беспальчук Ігор Вячеславович ," Політична партія ""НОВА ПОЛІТИКА""",1.75,1593,№32,Дніпропетровська область,2012
Поворознюк Ігор Іванович , Соціалістична партія України,1.17,1065,№32,Дніпропетровська область,2012
Задорожний Вячеслав Казимирович , Партія регіонів,45.82,36523,№33,Дніпропетровська область,2012
Жаботинський Андрій Вікторович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",18.79,14978,№33,Дніпропетровська область,2012
Кривенко Ірина Василівна , Комуністична партія України,18.09,14418,№33,Дніпропетровська область,2012
Алексєєв Володимир Васильович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",17.29,13780,№33,Дніпропетровська область,2012
Глазунов Сергій Миколайович , Партія регіонів,43.24,37215,№34,Дніпропетровська область,2012
Костромський Максим Васильович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",32.76,28193,№34,Дніпропетровська область,2012
Безпятий Анатолій Олексійович , Комуністична партія України,11.84,10196,№34,Дніпропетровська область,2012
Далія Сергій Олександрович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",7.08,6098,№34,Дніпропетровська область,2012
Бойко Ярослав Вікторович , самовисування,2.27,1956,№34,Дніпропетровська область,2012
Чорний Дмитро Сергійович ," ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО""",1.89,1630,№34,Дніпропетровська область,2012
Свергун Олександр Григорович ," Партія Наталії Королевської ""Україна – Вперед!""",0.88,764,№34,Дніпропетровська область,2012
Шипко Андрій Федорович , Партія регіонів,43.51,39420,№35,Дніпропетровська область,2012
Євтушенко Володимир Олексійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",19.98,18104,№35,Дніпропетровська область,2012
Нагнибіда Наталя Олександрівна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",12.16,11016,№35,Дніпропетровська область,2012
Дніпровський Олександр Борисович , Комуністична партія України,10.08,9134,№35,Дніпропетровська область,2012
Рижков Євген Миколайович , Народна Партія,6.27,5681,№35,Дніпропетровська область,2012
Мимриков Олександр Петрович , самовисування,4.4,3987,№35,Дніпропетровська область,2012
Арутюнова Наталя Миколаївна ," Партія Наталії Королевської ""Україна – Вперед!""",1.28,1162,№35,Дніпропетровська область,2012
Поперечнюк Михайло Федорович , самовисування,1.13,1024,№35,Дніпропетровська область,2012
Лучинська Алла Михайлівна , самовисування,0.7,636,№35,Дніпропетровська область,2012
Корнієнко Олена Валеріївна ," Політична партія ""НОВА ПОЛІТИКА""",0.46,425,№35,Дніпропетровська область,2012
Мартовицький Артур Володимирович , Партія регіонів,54.82,49386,№36,Дніпропетровська область,2012
Кузьміна Євгенія Олександрівна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",13.96,12583,№36,Дніпропетровська область,2012
Мочалін Олексій Олександрович , Комуністична партія України,11.87,10701,№36,Дніпропетровська область,2012
Ткаченко Євгеній Леонідович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",10.14,9137,№36,Дніпропетровська область,2012
Анікєєв Володимир Ілліч ," Партія ""Союз""",4.32,3894,№36,Дніпропетровська область,2012
Громакова Раїса Миколаївна ," Політична партія Всеукраїнське об’єднання ""Громада""",2.73,2461,№36,Дніпропетровська область,2012
Чумак Геннадій Іванович , Патріотична партія України,2.13,1925,№36,Дніпропетровська область,2012
Шпенов Дмитро Юрійович , Партія регіонів,52.66,44183,№37,Дніпропетровська область,2012
Дегтяр Володимир Миколайович , Комуністична партія України,15.3,12840,№37,Дніпропетровська область,2012
Каюн Олександр Володимирович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",10.24,8591,№37,Дніпропетровська область,2012
Литвиненко Сергій Михайлович ," політична партія Всеукраїнське об’єднання ""Свобода""",7.9,6628,№37,Дніпропетровська область,2012
Волков Сергій Сергійович ," Партія Наталії Королевської ""Україна – Вперед!""",3.37,2828,№37,Дніпропетровська область,2012
Цуркан Олег Валерійович , Соціалістична партія України,2.18,1832,№37,Дніпропетровська область,2012
Бобелюк Сергій Федосійович , самовисування,2.04,1719,№37,Дніпропетровська область,2012
Олійник Руслан Юрійович , самовисування,1.96,1646,№37,Дніпропетровська область,2012
Горобець Олена Леонідівна ," політична партія ""Наша Україна""",1.9,1599,№37,Дніпропетровська область,2012
Бусень Олег Петрович ," ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО""",1.26,1064,№37,Дніпропетровська область,2012
Сорока Олексій Олександрович , самовисування,1.15,966,№37,Дніпропетровська область,2012
Солошенко Микола Павлович , Партія регіонів,37.04,28181,№38,Дніпропетровська область,2012
Шилова Вікторія Віталіївна , самовисування,20.43,15547,№38,Дніпропетровська область,2012
Шипко Аркадій Юрійович , Комуністична партія України,13.81,10510,№38,Дніпропетровська область,2012
Білий Андрій Володимирович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",10.88,8282,№38,Дніпропетровська область,2012
Карачевцев Юрій Васильович ," політична партія Всеукраїнське об’єднання ""Свобода""",7.98,6074,№38,Дніпропетровська область,2012
Городецький Олексій Ілліч , самовисування,2.66,2030,№38,Дніпропетровська область,2012
Власова Наталія Федорівна ," Партія Наталії Королевської ""Україна – Вперед!""",2.5,1905,№38,Дніпропетровська область,2012
Салкоч Олексій Федорович ," ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО""",2.29,1748,№38,Дніпропетровська область,2012
Криштоп Ігор Володимирович , самовисування,1.13,862,№38,Дніпропетровська область,2012
Анащенко Анатолій Анатолійович ," Політична партія ""НОВА ПОЛІТИКА""",0.85,647,№38,Дніпропетровська область,2012
Лужецький Олексій Анатолійович , самовисування,0.38,291,№38,Дніпропетровська область,2012
Самойленко Юрій Павлович , Партія регіонів,51.37,43564,№39,Дніпропетровська область,2012
Волосянко Микола Іванович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",14.37,12191,№39,Дніпропетровська область,2012
Булкін Дмитро Валерійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",13.39,11360,№39,Дніпропетровська область,2012
Дацько Тетяна Федорівна , Комуністична партія України,12.94,10975,№39,Дніпропетровська область,2012
Барановський Володимир Миколайович ," ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО""",5.51,4676,№39,Дніпропетровська область,2012
Синенко Світлана Іванівна , самовисування,2.39,2033,№39,Дніпропетровська область,2012
Царьов Олег Анатолійович , Партія регіонів,45.07,33861,№40,Дніпропетровська область,2012
Рязанцев Іван Михайлович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",22.86,17174,№40,Дніпропетровська область,2012
Дідич Валентин Володимирович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",10.53,7912,№40,Дніпропетровська область,2012
Бахчевников Олександр Анатолійович , Комуністична партія України,10.13,7610,№40,Дніпропетровська область,2012
Демошенко Геннадій Валентинович , самовисування,3.89,2928,№40,Дніпропетровська область,2012
Яковіткін Олександр Валентинович , самовисування,2.74,2060,№40,Дніпропетровська область,2012
Бабич Лариса Ігорівна , самовисування,2.45,1844,№40,Дніпропетровська область,2012
Козирський Микола Анатолійович , самовисування,1.35,1016,№40,Дніпропетровська область,2012
Шебанов Вадим Анатолійович , самовисування,0.94,712,№40,Дніпропетровська область,2012
Бобков Олександр Михайлович , Партія регіонів,80.85,92239,№41,Донецька область,2012
Скакун Павло Петрович , Комуністична партія України,10.17,11613,№41,Донецька область,2012
Деркач Володимир Григорович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",4.55,5195,№41,Донецька область,2012
Заярний Артем Олексійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.41,5039,№41,Донецька область,2012
Бахтеєва Тетяна Дмитрівна , Партія регіонів,65.51,55627,№42,Донецька область,2012
Лук’янець Володимир Васильович , Комуністична партія України,11.93,10136,№42,Донецька область,2012
Шейко Вольга Василівна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",9.61,8168,№42,Донецька область,2012
Юрчак Вадим Олександрович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",7.2,6119,№42,Донецька область,2012
Анікушин Сергій Ігорович , самовисування,2.93,2492,№42,Донецька область,2012
Талишев Євген Іванович , Соціалістична партія України,2.78,2367,№42,Донецька область,2012
Ландик Валентин Іванович , Партія регіонів,50.87,39322,№43,Донецька область,2012
Коваленко Юрій Тимофійович , Комуністична партія України,16.18,12507,№43,Донецька область,2012
Волков Роман Юрійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",7.92,6122,№43,Донецька область,2012
Кутепов Микола Леонідович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",6.75,5222,№43,Донецька область,2012
Бунтовський Сергій Юрійович ," Партія ""Руський блок""",4.23,3276,№43,Донецька область,2012
Лівочка Олександр Васильович , самовисування,3.96,3064,№43,Донецька область,2012
Екштейн Інна Миколаївна , самовисування,3.56,2754,№43,Донецька область,2012
Вельдяксова Ольга Олександрівна , самовисування,2.48,1922,№43,Донецька область,2012
Абрамчук Євген Миколайович , самовисування,2.48,1919,№43,Донецька область,2012
Рищенко Наталя Ашотовна , Українська Народна Партія,1.52,1177,№43,Донецька область,2012
Левченко Микола Олександрович , Партія регіонів,79.31,89630,№44,Донецька область,2012
Симоненко Олександр Борисович , Комуністична партія України,10.19,11522,№44,Донецька область,2012
Волинко Микола Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",4.24,4800,№44,Донецька область,2012
Нікітін Станіслав Олександрович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2.55,2887,№44,Донецька область,2012
Кравченко Анатолій Васильович ," Політична партія ""Зелені""",1.57,1780,№44,Донецька область,2012
Левицький Євген Леонідович , самовисування,0.98,1110,№44,Донецька область,2012
Лигін Роман Олександрович , самовисування,0.43,489,№44,Донецька область,2012
Жнівін Сергій Юрійович , Українська Народна Партія,0.36,414,№44,Донецька область,2012
Лягін Роман Вікторович , самовисування,0.32,370,№44,Донецька область,2012
Звягільський Юхим Леонідович , Партія регіонів,72.59,83029,№45,Донецька область,2012
Волкова Ольга Іванівна , Комуністична партія України,16.06,18376,№45,Донецька область,2012
Топузов Олександр Юрійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",7.28,8335,№45,Донецька область,2012
Гришко Олег Борисович , політична партія Народний Рух України,2.69,3081,№45,Донецька область,2012
Сінілов Олександр Валерійович , Народна Партія,1.35,1550,№45,Донецька область,2012
Клюєв Сергій Петрович , Партія регіонів,73.1,69619,№46,Донецька область,2012
Матейченко Костянтин Володимирович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",10.67,10166,№46,Донецька область,2012
Єрдакій Олег Миколайович , Комуністична партія України,9.08,8655,№46,Донецька область,2012
Капля Вадим Вікторович , самовисування,4.03,3839,№46,Донецька область,2012
Каплунов Денис Вікторович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2.0,1905,№46,Донецька область,2012
Теплицький Валерій Павлович , самовисування,1.1,1050,№46,Донецька область,2012
Азаров Олексій Миколайович , Партія регіонів,76.1,62615,№47,Донецька область,2012
Хмельовий Анатолій Петрович , Комуністична партія України,9.79,8055,№47,Донецька область,2012
Зонтов Олег Вячеславович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",4.66,3838,№47,Донецька область,2012
Казацький Дмитро Геннадійович , Аграрна партія України,4.45,3662,№47,Донецька область,2012
Бондарєв Вадим Анатолійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2.66,2192,№47,Донецька область,2012
Котенко Олег Олексійович ," партія Політичне об’єднання ""Рідна Вітчизна""",0.74,612,№47,Донецька область,2012
Вєкуа Фрідон Напойович , самовисування,0.52,431,№47,Донецька область,2012
Підлісний Ігор Павлович ," Партія Наталії Королевської ""Україна – Вперед!""",0.48,403,№47,Донецька область,2012
Єрмак Олег Віталійович , Партія Зелених України,0.39,326,№47,Донецька область,2012
Мельник Віталій Володимирович , самовисування,0.17,142,№47,Донецька область,2012
Боярський Юрій Іванович , Партія регіонів,55.12,42025,№48,Донецька область,2012
Городенський Максим Олексійович , Комуністична партія України,12.3,9383,№48,Донецька область,2012
Ржавський Володимир Іванович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",11.68,8909,№48,Донецька область,2012
Сопельник Віктор Іванович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",5.99,4571,№48,Донецька область,2012
Гордієнко Сергій Леонідович ," Політична партія ""Народно-трудовий союз України""",5.88,4486,№48,Донецька область,2012
Кривошеєв Дмитро Олексійович ," Політична партія ""Європейська партія України""",4.97,3791,№48,Донецька область,2012
Корнієнко Сергій Миколайович , самовисування,4.02,3067,№48,Донецька область,2012
Омельянович Денис Сергійович , Партія регіонів,63.94,52061,№49,Донецька область,2012
Гур Юлія Олександрівна , Комуністична партія України,23.44,19084,№49,Донецька область,2012
Шипілов Олег Федорович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",8.97,7310,№49,Донецька область,2012
Ходус Микола Олександрович , Українська Народна Партія,3.62,2954,№49,Донецька область,2012
Байсаров Леонід Володимирович , Партія регіонів,72.71,68173,№50,Донецька область,2012
Єрмоленко Олена Олександрівна , Комуністична партія України,16.45,15428,№50,Донецька область,2012
Єлін Ілля Костянтинович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",8.4,7883,№50,Донецька область,2012
Яструбенко Олександр Васильович , Українська Народна Партія,2.41,2268,№50,Донецька область,2012
Гончаров Анатолій Дмитрович , Партія регіонів,40.11,27460,№51,Донецька область,2012
Герасимов Артур Володимирович , самовисування,12.24,8380,№51,Донецька область,2012
Весьолкін Володимир Юрійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",11.81,8084,№51,Донецька область,2012
Карпушев Олексій Олександрович , Комуністична партія України,11.03,7552,№51,Донецька область,2012
Вініченко Сергій Вікторович , самовисування,9.58,6558,№51,Донецька область,2012
Антип Петро Іванович , самовисування,7.74,5301,№51,Донецька область,2012
Березовий Микола Вікторович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2.56,1758,№51,Донецька область,2012
Черненко Віталій Григорович , Соціалістична партія України,1.66,1139,№51,Донецька область,2012
Алишев Олександр Миколайович , самовисування,1.17,804,№51,Донецька область,2012
Поляков Віталій Дмитрійович , самовисування,0.86,594,№51,Донецька область,2012
Шило Віталій Олександрович , самовисування,0.54,371,№51,Донецька область,2012
Попов Роман Валентинович , самовисування,0.41,283,№51,Донецька область,2012
П’ятько Роман Анатолійович , самовисування,0.23,164,№51,Донецька область,2012
Шкіря Ігор Миколайович , Партія регіонів,60.74,51609,№52,Донецька область,2012
Поддубний Володимир Анатолійович , самовисування,13.47,11447,№52,Донецька область,2012
Проценко Володимир Васильович , Комуністична партія України,12.25,10412,№52,Донецька область,2012
Рибак Володимир Іванович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",3.92,3332,№52,Донецька область,2012
Жмурко Андрій Анатолійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",3.67,3125,№52,Донецька область,2012
Рижков Анатолій Іванович , Соціалістична партія України,2.95,2512,№52,Донецька область,2012
Другашов Дмитро Олександрович , Народна Партія,1.43,1223,№52,Донецька область,2012
Попов Василь Миколайович , самовисування,0.77,655,№52,Донецька область,2012
Подколзін Тимур Сергійович , самовисування,0.76,649,№52,Донецька область,2012
Литвинов Леонід Федорович , Партія регіонів,78.86,71819,№53,Донецька область,2012
Стужук Микола Олександрович , Комуністична партія України,12.63,11509,№53,Донецька область,2012
Волошин Геннадій Якович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",5.37,4891,№53,Донецька область,2012
Славгородський Ігор Васильович ," політична партія Всеукраїнське об’єднання ""Свобода""",3.11,2841,№53,Донецька область,2012
Лук’янов Владислав Валентинович , Партія регіонів,77.15,72793,№54,Донецька область,2012
Волинець Євгеній Валерійович , Комуністична партія України,12.86,12138,№54,Донецька область,2012
Романченко Олексій Віталійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.07,3846,№54,Донецька область,2012
Півень Микола Іванович , Соціалістична партія України,2.07,1961,№54,Донецька область,2012
Кушніров Олександр Леонідович ," Партія ""Руський блок""",1.66,1572,№54,Донецька область,2012
Подорожко Євген Сергійович ," Політична партія ""НОВА ПОЛІТИКА""",1.43,1356,№54,Донецька область,2012
Здор Костянтин Семенович , Українська Народна Партія,0.71,679,№54,Донецька область,2012
Омельченко Валерій Павлович , Партія регіонів,69.3,61133,№55,Донецька область,2012
Нагорний Тимофій Олександрович , самовисування,13.03,11493,№55,Донецька область,2012
Ложечкін Вадим Сергійович , Комуністична партія України,9.72,8574,№55,Донецька область,2012
Бєліков Юрій Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",3.36,2970,№55,Донецька область,2012
Новиков Станіслав Олегович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2.61,2306,№55,Донецька область,2012
Кисельов Юрій Анатолійович , самовисування,1.95,1727,№55,Донецька область,2012
Борт Віталій Петрович , Партія регіонів,71.08,64693,№56,Донецька область,2012
Молоков Денис Геннадійович , Комуністична партія України,12.1,11014,№56,Донецька область,2012
Ткачук Лариса Віталіївна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.27,5713,№56,Донецька область,2012
Наумов Олександр Олександрович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",5.25,4781,№56,Донецька область,2012
Бакуліна Наталія Василівна , Народна Партія,2.88,2621,№56,Донецька область,2012
Поліванов Олег Олександрович ," Партія Наталії Королевської ""Україна – Вперед!""",1.44,1311,№56,Донецька область,2012
Новаковський Іван Сергійович , самовисування,0.95,869,№56,Донецька область,2012
Матвієнков Сергій Анатолійович , Партія регіонів,60.5,52572,№57,Донецька область,2012
Пуговкін Дмитро Юрійович , Комуністична партія України,17.04,14808,№57,Донецька область,2012
Романюк Олександр Володимирович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",7.06,6142,№57,Донецька область,2012
Асєєв Ігор Анатолійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.45,5606,№57,Донецька область,2012
Мороз Анатолій Михайлович ," політична партія ""Наша Україна""",4.27,3715,№57,Донецька область,2012
Забавін Дмитро В’ячеславович ," Партія Наталії Королевської ""Україна – Вперед!""",2.09,1816,№57,Донецька область,2012
Яременко Микола Дмитрович , Соціалістична партія України,1.62,1408,№57,Донецька область,2012
Щербаков Сергій Андрійович , Народна Партія,0.94,819,№57,Донецька область,2012
Білий Олексій Петрович , Партія регіонів,50.41,45117,№58,Донецька область,2012
Дейнєс Віталій Геннадійович , Комуністична партія України,19.45,17409,№58,Донецька область,2012
Решетняк Ігор Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",11.43,10231,№58,Донецька область,2012
Асєєв Олег Анатолійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",8.97,8029,№58,Донецька область,2012
Красновський Сергій Борисович ," Партія Наталії Королевської ""Україна – Вперед!""",3.08,2765,№58,Донецька область,2012
Тіхонова Лілія Валентинівна , Радикальна Партія Олега Ляшка,2.6,2328,№58,Донецька область,2012
Конишев Геннадій Аркадійович , Народна Партія,2.39,2144,№58,Донецька область,2012
Гудзюк Сергій Степанович , Соціалістична партія України,1.63,1464,№58,Донецька область,2012
Васильєв Олександр Андрійович , Партія регіонів,64.16,67329,№59,Донецька область,2012
Борковець Алла Олексіївна , Комуністична партія України,18.97,19912,№59,Донецька область,2012
Прилепський Віктор Володимирович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",8.85,9295,№59,Донецька область,2012
Шанова Людмила Миколаївна , Радикальна Партія Олега Ляшка,4.08,4282,№59,Донецька область,2012
Сучков Олексій Анатолійович , самовисування,3.92,4117,№59,Донецька область,2012
Риженков Олександр Миколайович , Партія регіонів,57.7,57624,№60,Донецька область,2012
Філіндаш Сергій Миколайович , Комуністична партія України,17.83,17810,№60,Донецька область,2012
Коваленко Василь Васильович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",12.7,12684,№60,Донецька область,2012
Міщенко Ігор Іванович ," Партія Наталії Королевської ""Україна – Вперед!""",3.98,3982,№60,Донецька область,2012
Ясько Геннадій Геннадійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",3.81,3811,№60,Донецька область,2012
Раковський Олександр Степанович , Народна Партія,2.29,2290,№60,Донецька область,2012
Герасимчук Анатолій Андрійович ," політична партія ""Наша Україна""",1.66,1664,№60,Донецька область,2012
Пономарьов Андрій Вікторович , Партія регіонів,54.76,45367,№61,Донецька область,2012
Кравченко Микола Васильович , Комуністична партія України,21.59,17890,№61,Донецька область,2012
Сурін Андрій Миколайович , Народна Партія,6.81,5646,№61,Донецька область,2012
Пономаренко Ілля Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",6.58,5454,№61,Донецька область,2012
Корж Євген Юрійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.32,3579,№61,Донецька область,2012
Гудов Іван Ілліч , самовисування,2.84,2353,№61,Донецька область,2012
Вітушко Олег Вікторович , самовисування,1.87,1550,№61,Донецька область,2012
Акашев Валентин Анатолійович , Соціалістична партія України,1.2,995,№61,Донецька область,2012
Зубко Геннадій Григорович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",60.97,57809,№62,Житомирська область,2012
Рижук Сергій Миколайович , Партія регіонів,25.16,23861,№62,Житомирська область,2012
Умінський Олег Феліксович , самовисування,3.51,3334,№62,Житомирська область,2012
Заславський Михайло Віталійович , самовисування,2.13,2024,№62,Житомирська область,2012
Савенко Микола Миколайович , самовисування,2.03,1929,№62,Житомирська область,2012
Коцюбко Олександр Петрович , самовисування,1.44,1374,№62,Житомирська область,2012
Горкуша Михайло Андрійович ," Партія Наталії Королевської ""Україна – Вперед!""",1.35,1285,№62,Житомирська область,2012
Афонін Віктор Тимофійович , самовисування,1.3,1241,№62,Житомирська область,2012
Камінський Іван Анатолійович , самовисування,0.97,925,№62,Житомирська область,2012
Мирний Володимир Вікторович , Ліберальна партія України,0.72,687,№62,Житомирська область,2012
Туманов Володимир Михайлович , самовисування,0.36,343,№62,Житомирська область,2012
Лабунська Анжеліка Вікторівна , самовисування,25.37,26007,№63,Житомирська область,2012
Ревега Олександр Васильович , Партія регіонів,15.84,16236,№63,Житомирська область,2012
Жебрівський Павло Іванович ," Політична партія Українська платформа ""СОБОР""",15.52,15916,№63,Житомирська область,2012
Петренко Микола Миколайович , самовисування,12.62,12943,№63,Житомирська область,2012
Піскун Святослав Михайлович , самовисування,8.5,8718,№63,Житомирська область,2012
Семенюк-Самсоненко Валентина Петрівна , Соціалістична партія України,3.83,3932,№63,Житомирська область,2012
Файдун Микола Іванович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",3.67,3767,№63,Житомирська область,2012
Побережний Олексій Сергійович , самовисування,3.04,3121,№63,Житомирська область,2012
Демчук Костянтин Лукич , Комуністична партія України,2.98,3062,№63,Житомирська область,2012
Унгурян Павло Якимович , самовисування,2.89,2964,№63,Житомирська область,2012
Каплієнко Володимир Володимирович , самовисування,1.96,2010,№63,Житомирська область,2012
Опацький Олександр Станіславович , самовисування,0.55,566,№63,Житомирська область,2012
Шевченко Олексій Вікторович , самовисування,0.49,507,№63,Житомирська область,2012
Бучнєва Людмила Володимирівна , самовисування,0.43,445,№63,Житомирська область,2012
Каленський Анатолій Зигмунтович ," Партія Наталії Королевської ""Україна – Вперед!""",0.4,411,№63,Житомирська область,2012
Цехоцький Сергій Всеволодович , самовисування,0.34,349,№63,Житомирська область,2012
Байдик Ігор Миколайович , самовисування,0.29,304,№63,Житомирська область,2012
Єлізарова Тетяна Олександрівна , самовисування,0.27,281,№63,Житомирська область,2012
Ковальов Юрій Вікторович , самовисування,0.24,254,№63,Житомирська область,2012
Бицай Микола Миколайович , самовисування,0.23,238,№63,Житомирська область,2012
Проскуров Володимир Володимирович , самовисування,0.21,218,№63,Житомирська область,2012
Васильченко Анатолій Олександрович , самовисування,0.13,135,№63,Житомирська область,2012
Кисленко Василь Васильович , самовисування,0.1,104,№63,Житомирська область,2012
Пехов Володимир Анатолійович , Партія регіонів,32.75,30959,№64,Житомирська область,2012
Тимошенко Микола Михайлович , Комуністична партія України,28.51,26952,№64,Житомирська область,2012
Озерчук Андрій Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",26.13,24699,№64,Житомирська область,2012
Невмержицький Анатолій Васильович , самовисування,3.69,3495,№64,Житомирська область,2012
Іскра Микола Миколайович ," Партія Наталії Королевської ""Україна – Вперед!""",3.36,3181,№64,Житомирська область,2012
Івчук Станіслав Станіславович , самовисування,2.61,2471,№64,Житомирська область,2012
Карпович Віктор Васильович ," Партія ""Сам за себе""",1.26,1198,№64,Житомирська область,2012
