deputat,partia,perc_for,votes_for,tvo,oblast,year
Дузь Вікторія Вікторівна ," Політична партія ""Народна ініціатива""",0.35,279,№3,Автономна Республіка Крим,2012
Кісієва Людмила Олександрівна , самовисування,0.31,245,№3,Автономна Республіка Крим,2012
Пилипенко Віталій Федорович ," Українська партія ""Зелена планета""",0.3,239,№3,Автономна Республіка Крим,2012
Денисенко Олександр Петрович , самовисування,0.26,204,№3,Автономна Республіка Крим,2012
Парасків Олег Дмитрович , Партія регіонів,34.0,27990,№4,Автономна Республіка Крим,2012
Котляревський Микола Миколайович , самовисування,27.76,22856,№4,Автономна Республіка Крим,2012
Білошицький Кирило Леонідович , Комуністична партія України,7.07,5827,№4,Автономна Республіка Крим,2012
Раханський Анатолій Варфоломійович , самовисування,5.67,4668,№4,Автономна Республіка Крим,2012
Шкабєрін Володимир Миколайович , самовисування,4.62,3809,№4,Автономна Республіка Крим,2012
Прадун Валентин Пантелійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",3.97,3275,№4,Автономна Республіка Крим,2012
Гафич Ігор Васильович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",3.64,3003,№4,Автономна Республіка Крим,2012
Лутьєв Володимир Григорович , самовисування,3.31,2726,№4,Автономна Республіка Крим,2012
Шевцов Василь Дмитрович ," Партія Наталії Королевської ""Україна – Вперед!""",1.25,1029,№4,Автономна Республіка Крим,2012
Акопова Світлана Миколаївна , Народна Екологічна партія,1.09,904,№4,Автономна Республіка Крим,2012
Виноградов Володимир Петрович ," Українська партія ""Зелена планета""",0.94,781,№4,Автономна Республіка Крим,2012
Колесник Віктор Олександрович , Народна Партія,0.93,768,№4,Автономна Республіка Крим,2012
Кочармін Олексій Олексійович , Радикальна Партія Олега Ляшка,0.92,763,№4,Автономна Республіка Крим,2012
Шпаченко Оксана Онілівна ," Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.84,695,№4,Автономна Республіка Крим,2012
Яковлєв Олександр Володимирович ," Політична партія України ""РУСЬ ЄДИНА""",0.83,688,№4,Автономна Республіка Крим,2012
Польченко Андрій Григорійович ," Політична партія ""Зелені""",0.51,424,№4,Автономна Республіка Крим,2012
Юрченко Валентина Семенівна ," Партія ""Віче""",0.45,374,№4,Автономна Республіка Крим,2012
