deputat,partia,perc_for,votes_for,year,tvo,oblast
Міщенко Микола Юрійович , самовисування,0.65,467,2014,№16,Вінницька область
Дзюба Олег Валерійович , самовисування,0.63,453,2014,№16,Вінницька область
Почтар Ігор Євгенович , самовисування,0.62,441,2014,№16,Вінницька область
Вороненко Олексій Володимирович , самовисування,0.47,337,2014,№16,Вінницька область
Шевчук Євгенія Іванівна , самовисування,0.43,308,2014,№16,Вінницька область
Пархоменко Софія Іванівна , самовисування,0.33,235,2014,№16,Вінницька область
Бухарєв Олег Олексійович , самовисування,0.31,227,2014,№16,Вінницька область
Матевосян Каріне Артурівна , самовисування,0.3,217,2014,№16,Вінницька область
Федченко Віталій Васильович , самовисування,0.16,119,2014,№16,Вінницька область
Кучер Микола Іванович , самовисування,47.63,43203,2014,№17,Вінницька область
Каленич Павло Євгенійович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",27.15,24623,2014,№17,Вінницька область
Марчук Віталій Іванович , Радикальна Партія Олега Ляшка,6.84,6208,2014,№17,Вінницька область
Шостак Юрій-Януарій Васильович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",6.43,5834,2014,№17,Вінницька область
Грицик Володимир Мартіянович , самовисування,3.29,2988,2014,№17,Вінницька область
Сколотяний Василь Андрійович , самовисування,3.11,2821,2014,№17,Вінницька область
Шевчук Руслан Богданович , самовисування,2.44,2219,2014,№17,Вінницька область
Росляков Єгор Валентинович ," Політична партія ""Опозиційний блок""",1.76,1599,2014,№17,Вінницька область
Попенко Ігор Петрович ," ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",1.31,1193,2014,№17,Вінницька область
Демчак Руслан Євгенійович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",51.68,43955,2014,№18,Вінницька область
Калетнік Григорій Миколайович , самовисування,14.82,12607,2014,№18,Вінницька область
Качур Олександр Вікторович , Радикальна Партія Олега Ляшка,12.48,10622,2014,№18,Вінницька область
Якименко Костянтин Вячеславович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",11.8,10042,2014,№18,Вінницька область
Куровський Станіслав Євгенович , самовисування,3.21,2735,2014,№18,Вінницька область
Мельник Микола Євтихійович , самовисування,1.89,1613,2014,№18,Вінницька область
Плис Валерій Віталійович ," Політична партія ""Опозиційний блок""",1.4,1195,2014,№18,Вінницька область
Ігонін Олександр Станіславович , самовисування,1.01,861,2014,№18,Вінницька область
Формагей Володимир Євгенович , Комуністична партія України,0.86,735,2014,№18,Вінницька область
Невесенко Олексій Володимирович , самовисування,0.79,680,2014,№18,Вінницька область
Гузь Ігор Володимирович ," Політична партія ""НАРОДНИЙ ФРОНТ""",30.69,27243,2014,№19,Волинська область
Зінкевич Костянтин Миколайович , самовисування,17.13,15211,2014,№19,Волинська область
Мельник Євген Іванович ," політична партія Всеукраїнське об’єднання ""Свобода""",10.72,9520,2014,№19,Волинська область
Юнак Микола Петрович , самовисування,9.15,8123,2014,№19,Волинська область
