deputat,partia,perc_for,votes_for,year,tvo,oblast
Рижий Аліна Валентинівна , самовисування,2.17,1716,2014,№76,Запорізька область
Шевчук Андрій Миколайович , самовисування,1.97,1559,2014,№76,Запорізька область
Кузьменко Сергій Юрійович ," Партія ""Справедливість""",1.74,1372,2014,№76,Запорізька область
Позднякова-Кирбят’єва Елліна Геннадіївна , самовисування,1.64,1294,2014,№76,Запорізька область
Іванов Андрій Валерійович , самовисування,1.63,1292,2014,№76,Запорізька область
Іванищев Максим Анатолійович , самовисування,1.46,1157,2014,№76,Запорізька область
Швець Олена Іванівна , самовисування,1.37,1081,2014,№76,Запорізька область
Торопов Михайло Валерійович , самовисування,0.87,691,2014,№76,Запорізька область
Богуслаєв Вячеслав Олександрович , самовисування,53.74,36165,2014,№77,Запорізька область
Леховіцер Олександр Вікторович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",21.96,14779,2014,№77,Запорізька область
Острянський Віктор Іванович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",9.47,6377,2014,№77,Запорізька область
Войтюк Ігор Миколайович , Комуністична партія України,6.22,4189,2014,№77,Запорізька область
Кірпа Ігор Георгійович , Радикальна Партія Олега Ляшка,5.53,3721,2014,№77,Запорізька область
Давидов Віталій Олександрович , самовисування,3.05,2053,2014,№77,Запорізька область
Пономарьов Олександр Сергійович , самовисування,48.51,35332,2014,№78,Запорізька область
Гончарук Петро Адольфович , самовисування,13.83,10073,2014,№78,Запорізька область
Гогунський Андрій Владленович , самовисування,9.1,6631,2014,№78,Запорізька область
Антошкіна Лідія Іванівна , самовисування,5.87,4281,2014,№78,Запорізька область
Бережецький Олександр Васильович ," Політична партія ""НАРОДНИЙ ФРОНТ""",4.73,3447,2014,№78,Запорізька область
Боровков Олександр Анатолійович , Комуністична партія України,4.26,3103,2014,№78,Запорізька область
Євстаф’єва Ірина Сергіївна ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",4.26,3103,2014,№78,Запорізька область
Мартищенко Олена Олександрівна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",2.72,1988,2014,№78,Запорізька область
Шалєєв Владислав Володимирович , Радикальна Партія Олега Ляшка,2.5,1827,2014,№78,Запорізька область
Ткаченко Сергій Олегович , самовисування,2.31,1686,2014,№78,Запорізька область
Гальченко Ірина Андріївна ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",1.86,1359,2014,№78,Запорізька область
Бандуров Володимир Володимирович , самовисування,21.81,17197,2014,№79,Запорізька область
Григорчук Олександр Сергійович , самовисування,21.79,17180,2014,№79,Запорізька область
Самойдюк Іван Гнатович , самовисування,11.84,9342,2014,№79,Запорізька область
Червоненко Євген Альфредович , самовисування,11.49,9061,2014,№79,Запорізька область
Величко Володимир Анатолійович , Комуністична партія України,9.31,7340,2014,№79,Запорізька область
Шевченко Анатолій Вікторович , самовисування,4.66,3676,2014,№79,Запорізька область
Мних Олег Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",3.05,2408,2014,№79,Запорізька область
Пріт Віктор Іванович , самовисування,2.32,1832,2014,№79,Запорізька область
Яровий Олег Миколайович , Радикальна Партія Олега Ляшка,2.08,1647,2014,№79,Запорізька область
Кондратєвич Олег Петрович ," Політична партія ""НАРОДНИЙ ФРОНТ""",2.07,1634,2014,№79,Запорізька область
Тиховод Анатолій Миколайович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",1.65,1303,2014,№79,Запорізька область
Щербак Віталій Вікторович , самовисування,1.54,1221,2014,№79,Запорізька область
Лебеденко Сергій Степанович , самовисування,1.05,828,2014,№79,Запорізька область
Подлобніков Віталій Вікторович ," політична партія Всеукраїнське об’єднання ""Свобода""",1.04,822,2014,№79,Запорізька область
Журавльов Денис Юрійович , самовисування,0.86,681,2014,№79,Запорізька область
Чистякова Віра Анатоліївна , самовисування,0.76,604,2014,№79,Запорізька область
Мудра Ірина Ярославівна , самовисування,0.57,452,2014,№79,Запорізька область
Кобець Олексій Станіславович , самовисування,0.47,372,2014,№79,Запорізька область
Тимченко Людмила Миколаївна , самовисування,0.46,367,2014,№79,Запорізька область
Кізілов Юрій Олександрович , самовисування,0.42,334,2014,№79,Запорізька область
Криштоп Ігор Володимирович , самовисування,0.27,216,2014,№79,Запорізька область
Панченко Дмитро Сергійович , самовисування,0.21,166,2014,№79,Запорізька область
Намлієв Олександр Федорович , самовисування,0.19,156,2014,№79,Запорізька область
Балицький Євген Віталійович , самовисування,47.4,30781,2014,№80,Запорізька область
Мінько Сергій Анатолійович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",19.56,12704,2014,№80,Запорізька область
Романов Роман Вікторович , самовисування,9.03,5870,2014,№80,Запорізька область
Фокарді Олексій Коррадович , самовисування,4.99,3246,2014,№80,Запорізька область
Генов Тарас Сергійович , Комуністична партія України,4.28,2781,2014,№80,Запорізька область
Єфименко Василь Васильович , самовисування,3.94,2562,2014,№80,Запорізька область
Богданов Ігор Михайлович ," Політична партія ""Опозиційний блок""",2.96,1927,2014,№80,Запорізька область
Сажнєва Марина Вікторівна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",2.16,1403,2014,№80,Запорізька область
Гарабажиу Ольга Тимофіївна , самовисування,2.09,1360,2014,№80,Запорізька область
Тищенко Олександр Васильович , самовисування,1.06,691,2014,№80,Запорізька область
Ільчук Світлана Миколаївна ," Партія Сергія Тігіпка ""Сильна Україна""",0.99,648,2014,№80,Запорізька область
Семак Олександр Геннадійович , самовисування,0.68,447,2014,№80,Запорізька область
Сакун Сергій Олександрович , Радикальна Партія Олега Ляшка,0.61,401,2014,№80,Запорізька область
Кушніренко Андрій Володимирович , самовисування,0.18,117,2014,№80,Запорізька область
Валентиров Сергій Васильович , самовисування,24.51,17462,2014,№81,Запорізька область
Рєпкін Олександр Олександрович , самовисування,19.45,13854,2014,№81,Запорізька область
Волков Олександр Миколайович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",12.94,9218,2014,№81,Запорізька область
Дудка Віктор Іванович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",10.51,7491,2014,№81,Запорізька область
Швець Дмитро Васильович , самовисування,9.62,6857,2014,№81,Запорізька область
Морозов Анатолій Петрович , Комуністична партія України,6.16,4393,2014,№81,Запорізька область
Райков Андрій Григорович ," Партія Сергія Тігіпка ""Сильна Україна""",4.01,2857,2014,№81,Запорізька область
Іванусь Сергій Лукич , самовисування,3.81,2719,2014,№81,Запорізька область
Волков Олександр Олександрович , самовисування,2.99,2135,2014,№81,Запорізька область
Грицаєнко Ігор Миколайович , Радикальна Партія Олега Ляшка,1.78,1270,2014,№81,Запорізька область
Мороз Дмитро Анатолійович , самовисування,1.61,1148,2014,№81,Запорізька область
Смоляченко Володимир Володимирович , самовисування,0.81,583,2014,№81,Запорізька область
Аліфанов Павло Валерійович , самовисування,0.57,409,2014,№81,Запорізька область
Вербицький Іван Олександрович , самовисування,0.55,394,2014,№81,Запорізька область
Орлов Ігор Анатолійович , самовисування,0.38,271,2014,№81,Запорізька область
Кохненко Євген Сергійович , самовисування,0.23,166,2014,№81,Запорізька область
Кривохатько Вадим Вікторович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",36.0,25195,2014,№82,Запорізька область
Куценко Владислав Ігорович , самовисування,22.39,15674,2014,№82,Запорізька область
Дудка Олександр Іванович , самовисування,22.21,15545,2014,№82,Запорізька область
Мараховська Вікторія Юріївна , Комуністична партія України,5.37,3764,2014,№82,Запорізька область
Веселков Сергій Леонідович , самовисування,3.51,2461,2014,№82,Запорізька область
Бичкова Наталія Іванівна , самовисування,2.59,1816,2014,№82,Запорізька область
Щербина Віктор Віталійович , Радикальна Партія Олега Ляшка,2.56,1795,2014,№82,Запорізька область
Венедіктов Сергій Анатолійович , самовисування,1.94,1360,2014,№82,Запорізька область
Межейко Віктор Іванович , самовисування,1.85,1301,2014,№82,Запорізька область
Шмаровоз Тетяна Миколаївна ," Партія ""Справедливість""",1.53,1071,2014,№82,Запорізька область
Шевченко Олександр Леонідович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",40.69,39645,2014,№83,Івано-Франківська область
Шкутяк Петро Зіновійович , самовисування,34.25,33372,2014,№83,Івано-Франківська область
Ноняк Михайло Васильович ," Політична партія ""НАРОДНИЙ ФРОНТ""",10.54,10278,2014,№83,Івано-Франківська область
Чорноус Володимир Ярославович ," Політична партія ""Громадянська позиція (Анатолій Гриценко)""",6.0,5848,2014,№83,Івано-Франківська область
Терешко Руслан Володимирович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",3.6,3512,2014,№83,Івано-Франківська область
Боднар Тарас Григорович , самовисування,1.05,1032,2014,№83,Івано-Франківська область
Петруняк Михайло Андрійович , самовисування,0.97,949,2014,№83,Івано-Франківська область
Вінтоняк Віктор Михайлович , самовисування,0.92,897,2014,№83,Івано-Франківська область
Тітов Володимир Дмитрович , самовисування,0.85,829,2014,№83,Івано-Франківська область
Сергенюк Ярослав Михайлович , самовисування,0.59,577,2014,№83,Івано-Франківська область
Бойчук Михайло Іванович , самовисування,0.49,483,2014,№83,Івано-Франківська область
Довбенко Михайло Володимирович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",18.26,19750,2014,№84,Івано-Франківська область
Вірастюк Роман Ярославович ," Політична партія ""НАРОДНИЙ ФРОНТ""",17.88,19347,2014,№84,Івано-Франківська область
Кіндій Василь Михайлович ," Політична партія ""Об’єднання ""САМОПОМІЧ""",16.15,17476,2014,№84,Івано-Франківська область
Галабала Ольга Юріївна ," Політична партія ""Воля""",11.12,12029,2014,№84,Івано-Франківська область
Зелінський Микола Романович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",9.89,10705,2014,№84,Івано-Франківська область
Бабій Ольга Михайлівна , самовисування,6.58,7127,2014,№84,Івано-Франківська область
Королик Михайло Михайлович , самовисування,5.57,6029,2014,№84,Івано-Франківська область
Абрамів Василь Зіновійович ," Політична партія ""ПРАВИЙ СЕКТОР""",4.34,4700,2014,№84,Івано-Франківська область
Лущак Анатолій Романович , самовисування,4.0,4327,2014,№84,Івано-Франківська область
Симак Дмитро Михайлович , Радикальна Партія Олега Ляшка,3.22,3491,2014,№84,Івано-Франківська область
Шкрумида Олег Романович , самовисування,1.93,2091,2014,№84,Івано-Франківська область
Білан Петро Ярославович , самовисування,0.63,682,2014,№84,Івано-Франківська область
Сергенюк Сергій Ярославович , самовисування,0.36,399,2014,№84,Івано-Франківська область
Насалик Ігор Степанович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",52.05,51569,2014,№85,Івано-Франківська область
Тірон Андрій Валерійович ," Політична партія ""НАРОДНИЙ ФРОНТ""",18.65,18479,2014,№85,Івано-Франківська область
Сікора Ольга Мирославівна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",11.28,11176,2014,№85,Івано-Франківська область
Павлів Володимир Олексійович , самовисування,8.66,8587,2014,№85,Івано-Франківська область
Гладун Ярослав Ігорович , самовисування,3.4,3373,2014,№85,Івано-Франківська область
Коретчук Ярослав Володарович , політична партія Конгрес Українських Націоналістів,3.19,3168,2014,№85,Івано-Франківська область
Телько Володимир Іванович , Радикальна Партія Олега Ляшка,1.46,1455,2014,№85,Івано-Франківська область
Сушко Роман Васильович , самовисування,1.26,1258,2014,№85,Івано-Франківська область
Дирів Анатолій Борисович ," Політична партія ""НАРОДНИЙ ФРОНТ""",22.3,20635,2014,№86,Івано-Франківська область
Грабовецький Володимир Миколайович ," Політична партія ""Воля""",19.91,18423,2014,№86,Івано-Франківська область
Бартків Василь Павлович , самовисування,19.35,17904,2014,№86,Івано-Франківська область
Скрипник Віталій Богданович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",9.77,9048,2014,№86,Івано-Франківська область
Парфан Тарас Дмитрович , самовисування,7.67,7100,2014,№86,Івано-Франківська область
Франків Руслан Романович , самовисування,5.27,4881,2014,№86,Івано-Франківська область
Гоголь Ярослава Михайлівна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",4.37,4047,2014,№86,Івано-Франківська область
Глинка Роман Ярославович , самовисування,3.62,3351,2014,№86,Івано-Франківська область
Тринчук Андрій Ігорович , Радикальна Партія Олега Ляшка,2.19,2033,2014,№86,Івано-Франківська область
Федай Михайло Андрійович , самовисування,2.17,2015,2014,№86,Івано-Франківська область
Тимочко Ігор Ярославович , самовисування,0.98,908,2014,№86,Івано-Франківська область
Самілів Галина Василівна , самовисування,0.62,576,2014,№86,Івано-Франківська область
Грушецька Світлана Миколаївна , самовисування,0.38,355,2014,№86,Івано-Франківська область
Василевич Роман Ярославович , самовисування,0.36,340,2014,№86,Івано-Франківська область
Щербанюк Андрій Олегович , самовисування,0.19,181,2014,№86,Івано-Франківська область
Рис-Вікерс Уляна Григорівна , самовисування,0.16,157,2014,№86,Івано-Франківська область
Петрик Олександр Олексійович , самовисування,0.16,154,2014,№86,Івано-Франківська область
Жубецька Олександра Сергіївна , самовисування,0.14,137,2014,№86,Івано-Франківська область
Палатній Олександр Миколайович , самовисування,0.12,115,2014,№86,Івано-Франківська область
Устимчук Олег Олександрович , самовисування,0.09,90,2014,№86,Івано-Франківська область
Чубатий Мирослав Ігорович , самовисування,0.07,74,2014,№86,Івано-Франківська область
Дерев’янко Юрій Богданович ," Політична партія ""Воля""",69.67,62799,2014,№87,Івано-Франківська область
Попович Василь Васильович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",14.58,13147,2014,№87,Івано-Франківська область
Паранюк Ярослав Дмитрович ," Політична партія ""НАРОДНИЙ ФРОНТ""",9.3,8391,2014,№87,Івано-Франківська область
Ішин Леся Федорівна ," Політична партія ""ПРАВИЙ СЕКТОР""",2.43,2194,2014,№87,Івано-Франківська область
Тодорук Іван Іванович , Радикальна Партія Олега Ляшка,1.77,1601,2014,№87,Івано-Франківська область
Масевич Василь Володимирович ," ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",0.44,398,2014,№87,Івано-Франківська область
Мукосієнко Наталія Павлівна , самовисування,0.31,285,2014,№87,Івано-Франківська область
Степаненков Станіслав Валерійович ," Політична партія ""Опозиційний блок""",0.25,227,2014,№87,Івано-Франківська область
Максимів Володимир Миколайович , самовисування,0.23,208,2014,№87,Івано-Франківська область
Максімова Наталія Іванівна , самовисування,0.22,201,2014,№87,Івано-Франківська область
Чучук Володимир Ізидорович , самовисування,0.22,201,2014,№87,Івано-Франківська область
Устимчук Оксана Ігорівна , самовисування,0.21,192,2014,№87,Івано-Франківська область
Сванідзе Зураб Гелович , самовисування,0.09,85,2014,№87,Івано-Франківська область
Савків Зіновій Юрійович , самовисування,0.09,83,2014,№87,Івано-Франківська область
Томків Микола Ігорович , самовисування,0.07,72,2014,№87,Івано-Франківська область
Холопцев Юрій Миколайович , самовисування,0.05,48,2014,№87,Івано-Франківська область
Тимошенко Юрій Володимирович ," Політична партія ""НАРОДНИЙ ФРОНТ""",29.32,27882,2014,№88,Івано-Франківська область
Доній Олександр Сергійович , самовисування,16.0,15218,2014,№88,Івано-Франківська область
Книшук Петро Васильович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",15.13,14392,2014,№88,Івано-Франківська область
Овчаренко Юрій Іванович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",13.43,12772,2014,№88,Івано-Франківська область
Калин Роман Ярославович , самовисування,4.38,4171,2014,№88,Івано-Франківська область
Мар’янський Тарас Богданович , самовисування,3.6,3431,2014,№88,Івано-Франківська область
Дерпак Віталій Михайлович , Радикальна Партія Олега Ляшка,3.01,2871,2014,№88,Івано-Франківська область
Слюзар Ігор Богданович , самовисування,2.98,2834,2014,№88,Івано-Франківська область
Григорів Іван Дмитрович , самовисування,2.66,2534,2014,№88,Івано-Франківська область
Оробець Теодор Іванович , самовисування,1.98,1891,2014,№88,Івано-Франківська область
Пак Володимир Геннадійович , самовисування,1.7,1619,2014,№88,Івано-Франківська область
Тодорів Йосип Петрович , самовисування,1.66,1579,2014,№88,Івано-Франківська область
Сузанський Іван Віталійович ," Політична партія ""ПРАВИЙ СЕКТОР""",1.28,1219,2014,№88,Івано-Франківська область
Мойсик Володимир Романович , самовисування,1.18,1126,2014,№88,Івано-Франківська область
Мандзюк Степан Васильович , самовисування,1.12,1070,2014,№88,Івано-Франківська область
Томенчук Ростислав Богданович ," Політична партія ""Сила Людей""",0.5,476,2014,№88,Івано-Франківська область
Соловей Юрій Ігорович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",23.07,18862,2014,№89,Івано-Франківська область
Гладій Василь Іванович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",15.53,12695,2014,№89,Івано-Франківська область
Шкрібляк Лідія Василівна ," Політична партія ""НАРОДНИЙ ФРОНТ""",12.79,10459,2014,№89,Івано-Франківська область
Григоришин Роман Мирославович , самовисування,11.99,9804,2014,№89,Івано-Франківська область
Матейчук Роман Степанович , самовисування,11.84,9681,2014,№89,Івано-Франківська область
Шинкарук Ярослав Іванович , самовисування,7.03,5747,2014,№89,Івано-Франківська область
Бурдяк Леся Іванівна , Радикальна Партія Олега Ляшка,5.8,4747,2014,№89,Івано-Франківська область
Дроняк Микола Миколайович , самовисування,4.91,4020,2014,№89,Івано-Франківська область
Шатрук Михайло Іванович , самовисування,4.4,3603,2014,№89,Івано-Франківська область
Рябошапко Андрій Леонідович ," Політична партія ""Опозиційний блок""",1.55,1272,2014,№89,Івано-Франківська область
Реведжук Роман Петрович , самовисування,1.04,851,2014,№89,Івано-Франківська область
Марченко Олександр Олександрович ," політична партія Всеукраїнське об’єднання ""Свобода""",23.66,20769,2014,№90,Київська область
Бабенко Микола Вікторович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",20.6,18084,2014,№90,Київська область
Петрик Юрій Федорович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",12.96,11380,2014,№90,Київська область
Дригало Людмила Борисівна , самовисування,9.12,8011,2014,№90,Київська область
Ліневич Олександр Станіславович , Радикальна Партія Олега Ляшка,6.6,5795,2014,№90,Київська область
Лещенко Роман Валерійович , самовисування,5.08,4458,2014,№90,Київська область
Порфимович Микола Сергійович ," Політична партія ""ПРАВИЙ СЕКТОР""",3.92,3443,2014,№90,Київська область
Яременко Богдан Вікторович , самовисування,3.82,3354,2014,№90,Київська область
Шуліпа Вячеслав Геннадійович , самовисування,2.57,2259,2014,№90,Київська область
Поліщук Станіслав Михайлович ," Політична партія ""Опозиційний блок""",1.8,1588,2014,№90,Київська область
Олійник Тарас Володимирович , Комуністична партія України,1.56,1373,2014,№90,Київська область
Щериця Іван Володимирович , самовисування,0.93,823,2014,№90,Київська область
Шевченко Володимир Іванович , самовисування,0.85,746,2014,№90,Київська область
Олійник Анна Олександрівна , самовисування,0.81,716,2014,№90,Київська область
Костельнюк Олександр Васильович , самовисування,0.76,675,2014,№90,Київська область
Поляруш Олександр Олексійович , самовисування,0.74,658,2014,№90,Київська область
Долгий Василь Миколайович , самовисування,0.69,609,2014,№90,Київська область
Молоцький Петро Васильович , самовисування,0.52,460,2014,№90,Київська область
Кулініч Ганна Миколаївна , самовисування,0.5,447,2014,№90,Київська область
Безкрилий Євгеній Олександрович , самовисування,0.45,403,2014,№90,Київська область
Ярмольчук Сергій Анатолійович , самовисування,0.43,385,2014,№90,Київська область
Зборівський Богдан Вікторович , самовисування,0.38,342,2014,№90,Київська область
Матвійчук Віктор Андрійович , самовисування,0.35,308,2014,№90,Київська область
Матюшко Вадим Михайлович , самовисування,0.3,267,2014,№90,Київська область
Іщенко Андрій Дмитрович , самовисування,0.28,247,2014,№90,Київська область
Фелоненко Юрій Васильович , самовисування,0.16,149,2014,№90,Київська область
Сольвар Руслан Миколайович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",50.96,40329,2014,№91,Київська область
Хмельницький Богдан Станіславович ," Політична партія ""НАРОДНИЙ ФРОНТ""",13.22,10467,2014,№91,Київська область
Ступак Іван Станіславович , самовисування,6.47,5121,2014,№91,Київська область
Швидкий Микола Андрійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",5.27,4174,2014,№91,Київська область
Поярков Сергій Володимирович , самовисування,4.73,3745,2014,№91,Київська область
Данченко Владислав Олександрович ," Політична партія ""ПРАВИЙ СЕКТОР""",4.61,3655,2014,№91,Київська область
Сулима Василь Іванович , Радикальна Партія Олега Ляшка,3.43,2721,2014,№91,Київська область
Береза Світлана Василівна ," Політична партія ""Опозиційний блок""",2.33,1847,2014,№91,Київська область
Горбик Володимир Миколайович , самовисування,1.78,1414,2014,№91,Київська область
Ларіна Оксана Василівна ," Партія ""Солідарність жінок України""",1.25,997,2014,№91,Київська область
Савельєв Андрій Юрійович , самовисування,1.15,916,2014,№91,Київська область
Чулков Олександр Володимирович , Комуністична партія України,0.99,788,2014,№91,Київська область
Коєв Юрій Іванович , Українська Народна Партія,0.88,698,2014,№91,Київська область
Озерова Марина Станіславівна , самовисування,0.8,635,2014,№91,Київська область
Кучеренко Федір Олександрович ," Політична партія ""Національна Демократична партія України""",0.55,441,2014,№91,Київська область
Мальований Петро Андрійович ," Українська партія ""Зелена планета""",0.48,383,2014,№91,Київська область
Головко Володимир Зіновійович , самовисування,0.4,318,2014,№91,Київська область
Заплавський Вадим Борисович , Ліберальна партія України,0.39,310,2014,№91,Київська область
Приятель Максим Володимирович , самовисування,0.21,173,2014,№91,Київська область
Гудзенко Віталій Іванович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",27.03,23248,2014,№92,Київська область
Світовенко Віктор Вікторович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",15.05,12947,2014,№92,Київська область
Глиняний Леонід Петрович , самовисування,14.59,12550,2014,№92,Київська область
Балагура Олег Вікторович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",9.07,7805,2014,№92,Київська область
В’юник Олександр Григорович ," Політична партія ""НАРОДНИЙ ФРОНТ""",8.81,7585,2014,№92,Київська область
Хмельницький Вячеслав Вікторович , самовисування,5.06,4356,2014,№92,Київська область
Гудзенко Віктор Іванович , самовисування,5.03,4330,2014,№92,Київська область
Голуб Руслан Тарасович , самовисування,4.12,3546,2014,№92,Київська область
Колюх Валерій Вікторович , самовисування,2.83,2441,2014,№92,Київська область
Гейло Ігор Вікторович , самовисування,1.81,1562,2014,№92,Київська область
Кацуба Сергій Володимирович , самовисування,1.43,1232,2014,№92,Київська область
Черній Віктор Пилипович , Українська республіканська партія,0.9,775,2014,№92,Київська область
Кот Оксана Павлівна , Комуністична партія України,0.87,755,2014,№92,Київська область
Загородній Сергій Якович ," Українська партія ""Зелена планета""",0.62,539,2014,№92,Київська область
Цісельський Сергій Мечиславович , самовисування,0.56,484,2014,№92,Київська область
Кубенко Антоніна Яківна , самовисування,0.29,257,2014,№92,Київська область
Войченко Сергій Вікторович , самовисування,0.28,249,2014,№92,Київська область
Ковба Руслан Анатолійович , самовисування,0.25,218,2014,№92,Київська область
Приколотіна Юлія Павлівна , самовисування,0.24,207,2014,№92,Київська область
Єфіменко Віталій Олегович , самовисування,0.18,157,2014,№92,Київська область
Мазуренко Сергій Васильович , самовисування,0.12,109,2014,№92,Київська область
Хахуліна Анастасія Юріївна , самовисування,0.11,103,2014,№92,Київська область
Науменко Борис Вікторович , самовисування,0.11,102,2014,№92,Київська область
Маслянчук Петро Людвігович , самовисування,0.1,94,2014,№92,Київська область
Черниш Антон Сергійович , самовисування,0.09,80,2014,№92,Київська область
Левчук Євгеній Васильович , самовисування,0.09,78,2014,№92,Київська область
Єфіменко Євгеній Олегович , самовисування,0.08,70,2014,№92,Київська область
Мудрік Віктор Вітович , самовисування,0.08,69,2014,№92,Київська область
Макітренко Олександр Васильович , самовисування,0.06,56,2014,№92,Київська область
Онищенко Олександр Романович , самовисування,35.77,29430,2014,№93,Київська область
Бриль Костянтин Іванович , самовисування,8.59,7067,2014,№93,Київська область
Бондарчук Юрій Вікторович , самовисування,8.33,6853,2014,№93,Київська область
Лихоліт Валентин Станіславович , самовисування,7.82,6438,2014,№93,Київська область
Будюк Сергій Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",7.13,5866,2014,№93,Київська область
Бойко Олег Васильович , самовисування,7.07,5819,2014,№93,Київська область
Даниленко Олександр Юрійович , самовисування,5.64,4645,2014,№93,Київська область
Гавриленко Петро Миколайович , самовисування,4.74,3905,2014,№93,Київська область
Плескач Віталій Дмитрович , Радикальна Партія Олега Ляшка,1.71,1411,2014,№93,Київська область
Мостіпан Уляна Миколаївна , самовисування,1.65,1360,2014,№93,Київська область
Усатенко Тарас Петрович ," Політична партія ""ПРАВИЙ СЕКТОР""",1.45,1194,2014,№93,Київська область
Салабай Олександр Зіновійович , самовисування,1.41,1162,2014,№93,Київська область
Недяк Андрій Петрович , самовисування,0.94,781,2014,№93,Київська область
Гавриленко Володимир Васильович , самовисування,0.89,735,2014,№93,Київська область
Босенко Євгеній Юрійович , самовисування,0.74,612,2014,№93,Київська область
Антонюк Ігор Іванович , самовисування,0.74,610,2014,№93,Київська область
Савченко Наталья Миколаївна ," Партія Сергія Тігіпка ""Сильна Україна""",0.61,506,2014,№93,Київська область
Шульський Валерій Петрович , самовисування,0.54,448,2014,№93,Київська область
Ксенич Сергій Романович , самовисування,0.54,447,2014,№93,Київська область
Томашевський Михайло Вікторович , Комуністична партія України,0.46,382,2014,№93,Київська область
Гальченко Сергій Анастасійович , Ліберальна партія України,0.38,316,2014,№93,Київська область
Доценко Борис Борисович ," Політична партія ""Опозиційний блок""",0.37,308,2014,№93,Київська область
Звізло Максим Романович , самовисування,0.27,227,2014,№93,Київська область
Ненчук Роман Олегович , самовисування,0.27,223,2014,№93,Київська область
Павлюк Юлія Валеріївна , самовисування,0.26,215,2014,№93,Київська область
Чириднік Юрій Анатолійович , самовисування,0.25,211,2014,№93,Київська область
Орел Олександр Миколайович , самовисування,0.24,204,2014,№93,Київська область
Казакова Оксана Олександрівна , самовисування,0.24,202,2014,№93,Київська область
Каленюк Анна Сергіївна , самовисування,0.16,138,2014,№93,Київська область
Тимченко Володимир Григорович , самовисування,0.15,128,2014,№93,Київська область
Лежавська Алла Йосипівна , самовисування,0.12,100,2014,№93,Київська область
Малькова Валентина Миколаївна , самовисування,0.11,98,2014,№93,Київська область
