tvo;num_voters;num_stations;description;city_neighborhood
158;169204;200;Центр: місто Сарни;Березнівський, Костопільський, Сарненський райони
159;236963;133;Центр: місто Суми, Зарічний район;Зарічний, Ковпаківський райони в місті Сумах
160;125568;161;Центр: місто Суми;Білопільський, Лебединський, Сумський райони, місто Лебедин
161;156786;183;Центр: місто Шостка;Глухівський, Середино-Будський, Шосткинський, Ямпільський райони, міста Глухів, Шостка
162;144783;162;Центр: місто Конотоп;Конотопський, Кролевецький, Путивльський райони, місто Конотоп
163;129000;199;Центр: місто Ромни;Буринський, Липоводолинський, Недригайлівський, Роменський райони, місто Ромни
164;127758;169;Центр: місто Охтирка;Великописарівський, Краснопільський, Охтирський, Тростянецький райони, місто Охтирка
165;180346;90;Центр: місто Тернопіль;місто Тернопіль
166;180666;321;Центр: місто Збараж;Збаразький, Кременецький, Лановецький, Підволочиський, Шумський райони
167;162998;291;Центр: місто Зборів;Бережанський, Зборівський, Козівський, Підгаєцький, Тернопільський райони
168;172247;271;Центр: місто Теребовля;Бучацький, Гусятинський, Монастириський, Теребовлянський райони
169;152292;210;Центр: місто Чортків;Борщівський, Заліщицький, Чортківський райони, місто Чортків
170;162450;88;Центр: місто Харків, Дзержинський район;Дзержинський район у місті Харкові
171;144015;87;Центр: місто Харків, Київський район;Київський район у місті Харкові
172;225139;118;Центр: місто Харків, Московський район;Московський район у місті Харкові
173;179449;99;Центр: місто Харків, Фрунзенський район;Ленінський, Фрунзенський райони в місті Харкові
174;119280;59;Центр: місто Харків, Орджонікідзевський район;Орджонікідзевський район у місті Харкові
175;111610;61;Центр: місто Харків, Комінтернівський район;Комінтернівський район у місті Харкові
176;158118;95;Центр: місто Харків, Червонозаводський район;Жовтневий, Червонозаводський райони в місті Харкові
177;159264;160;Центр: місто Дергачі;Богодухівський, Дергачівський, Золочівський, Краснокутський райони
178;147046;157;Центр: місто Чугуїв;Великобурлуцький, Вовчанський, Дворічанський, Печенізький, Чугуївський райони, місто Чугуїв
179;154960;167;Центр: місто Куп'янськ;Борівський, Ізюмський, Куп'янський, Шевченківський райони, міста Ізюм, Куп'янськ
180;147958;140;Центр: місто Балаклія;Балаклійський, Барвінківський, Зміївський райони
181;149119;174;Центр: місто Лозова;Близнюківський, Лозівський, Первомайський, Сахновщинський райони, міста Лозова, Первомайський
182;125322;164;Центр: місто Красноград;Валківський, Зачепилівський, Кегичівський, Коломацький, Красноградський, Нововодолазький райони
183;166061;120;Центр: смт Пісочин, Харківський район;Харківський район, місто Люботин
184;149585;95;Центр: місто Херсон, Комсомольський район;Білозерський район, Комсомольський район у місті Херсоні (з населеними пунктами Комсомольської районної в місті Херсоні ради)
185;176355;108;Центр: місто Херсон, Дніпровський район, Суворовський район;Дніпровський, Суворовський райони в місті Херсоні (з населеними пунктами Дніпровської та Суворовської районних у місті Херсоні рад)
186;144935;153;Центр: місто Нова Каховка;Бериславський, Великоолександрівський, Високопільський, Нововоронцовський райони, місто Нова Каховка (з населеними пунктами Новокаховської міської ради)
187;158077;148;Центр: місто Цюрупинськ;Голопристанський, Каланчацький, Скадовський, Цюрупинський райони, місто Гола Пристань
188;109102;131;Центр: місто Каховка;Великолепетиський, Верхньорогачицький, Горностаївський, Каховський, Нижньосірогозький райони, місто Каховка
189;113975;140;Центр: смт Новотроїцьке;Генічеський, Іванівський, Новотроїцький, Чаплинський райони
190;203933;113;Центр: місто Хмельницький;місто Хмельницький
191;124558;267;Центр: смт Теофіполь;Білогірський, Волочиський, Ізяславський, Теофіпольський райони
192;135678;293;Центр: місто Деражня;Деражнянський, Летичівський, Старосинявський, Хмельницький, Ярмолинецький райони
193;165175;225;Центр: місто Кам'янець-Подільський;місто Кам'янець-Подільський, Кам'янець-Подільський, Чемеровецький райони
194;135541;240;Центр: місто Дунаївці;Віньковецький, Городоцький, Дунаєвецький, Новоушицький райони
195;141923;185;Центр: місто Славута;міста Нетішин, Славута, Шепетівка, Славутський, Шепетівський райони
196;133842;230;Центр: місто Старокостянтинів;місто Старокостянтинів, Красилівський, Полонський, Старокостянтинівський райони
197;175753;104;Центр: місто Черкаси, Придніпровський район;Черкаський район, Придніпровський район у місті Черкасах
198;117083;72;Центр: місто Черкаси, Соснівський район;Соснівський район у місті Черкасах
199;126380;173;Центр: місто Городище;Городищенський, Корсунь-Шевченківський, Лисянський, Шполянський райони
200;161595;232;Центр: місто Золотоноша;Драбівський, Золотоніський, Канівський, Чорнобаївський райони, міста Золотоноша, Канів
201;131483;136;Центр: місто Сміла;місто Сміла, Кам'янський, Смілянський, Чигиринський райони
202;158777;215;Центр: місто Тальне;місто Ватутіне, Жашківський, Звенигородський, Катеринопільський, Маньківський, Тальнівський райони
203;156273;171;Центр: місто Умань;місто Умань, Монастирищенський, Уманський, Христинівський райони
204;184618;115;Центр: місто Чернівці;місто Чернівці
205;194757;178;Центр: місто Сторожинець;Сторожинецький, Вижницький, Кіцманський, Путильський райони
206;146002;113;Центр: місто Новоселиця;Герцаївський, Глибоцький, Новоселицький райони
207;173522;155;Центр: місто Хотин;місто Новодністровськ, Хотинський, Заставнівський, Сокирянський, Кельменецький райони
208;226122;127;Центр: місто Чернігів (Новозаводський район, Деснянський район);Деснянський, Новозаводський райони в місті Чернігові
209;112637;207;Центр: смт Ріпки;Городнянський, Ріпкинський, Чернігівський, Щорський райони
210;108652;176;Центр: смт Козелець;Бобровицький, Козелецький, Куликівський, Носівський райони
211;149233;162;Центр: місто Ніжин;місто Ніжин, Бахмацький, Борзнянський, Ніжинський райони
212;141758;207;Центр: місто Прилуки;місто Прилуки, Варвинський, Ічнянський, Прилуцький, Срібнянський, Талалаївський райони
213;127878;225;Центр: смт Сосниця;Коропський, Корюківський, Менський, Новгород-Сіверський, Семенівський, Сосницький райони, місто Новгород-Сіверський
214;169663;86;Центр: місто Київ, Голосіївський район;Голосіївський район у місті Києві
215;277445;136;Центр: місто Київ, Дарницький район;Дарницький район у місті Києві
216;285357;135;Центр: місто Київ, Деснянський район;Деснянський район у місті Києві
217;265349;129;Центр: місто Київ, Дніпровський район;Дніпровський район у місті Києві
218;227687;112;Центр: місто Київ, Оболонський район;Оболонський район у місті Києві
219;89769;50;Центр: місто Київ, Печерський район;Печерський район у місті Києві
220;145380;72;Центр: місто Київ, Подільський район;Подільський район у місті Києві
221;254999;126;Центр: місто Київ, Святошинський район;Святошинський район у місті Києві
222;245893;132;Центр: місто Київ, Солом'янський район;Солом'янський район у місті Києві
223;176219;108;Центр: місто Київ, Шевченківський район;Шевченківський район у місті Києві
224;137915;87;Центр: місто Севастополь, Гагарінський район;Балаклавський, Гагарінський райони в місті Севастополі (з населеними пунктами Балаклавської районної в місті Севастополі ради)
225;163891;106;Центр: місто Севастополь, Ленінський район;Ленінський, Нахімовський райони в місті Севастополі (з населеними пунктами Нахімовської районної в місті Севастополі ради)
